target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,NUAK1,0.0007407909286964401,IntegratedGradients
Erlotinib,0,,rna,SLC35D2,0.0002984784823301954,IntegratedGradients
Erlotinib,0,,rna,RIN2,0.0012366676570911552,IntegratedGradients
Erlotinib,0,,rna,ITGA2,0.0006721523367540995,IntegratedGradients
Erlotinib,0,,rna,EXPH5,0.0011175729022105828,IntegratedGradients
Erlotinib,0,,rna,PTPN22,0.00034917564043022016,IntegratedGradients
Erlotinib,0,,rna,PLS3,0.0006541338539971011,IntegratedGradients
Erlotinib,0,,rna,FGFBP1,0.0011428620321958577,IntegratedGradients
Erlotinib,0,,rna,NR3C1,0.0006347638859699103,IntegratedGradients
Erlotinib,0,,rna,APOB,0.0002078171695600442,IntegratedGradients
Erlotinib,0,,rna,SHTN1,0.0005358568376614242,IntegratedGradients
Erlotinib,0,,rna,ARHGEF16,0.0010670787822776352,IntegratedGradients
Erlotinib,0,,rna,RAI14,0.0007009770115813983,IntegratedGradients
Erlotinib,0,,rna,KIF21B,0.0010285374217222146,IntegratedGradients
Erlotinib,0,,rna,NNMT,0.0006455176832931224,IntegratedGradients
Erlotinib,0,,rna,GPR18,0.0002987456796279779,IntegratedGradients
Erlotinib,0,,rna,ANXA4,0.0003115542829415793,IntegratedGradients
Erlotinib,0,,rna,LAMA5,0.0005326186046190069,IntegratedGradients
Erlotinib,0,,rna,EFNA1,0.0006420153975501816,IntegratedGradients
Erlotinib,0,,rna,PMP22,0.00048343280693435625,IntegratedGradients
Erlotinib,0,,rna,RHOD,0.00039669452185849664,IntegratedGradients
Erlotinib,0,,rna,MET,0.0011858530843702447,IntegratedGradients
Erlotinib,0,,rna,CLEC2D,0.0003127924375753232,IntegratedGradients
Erlotinib,0,,rna,CCN2,0.0004537147371632243,IntegratedGradients
Erlotinib,0,,rna,PHLDA2,0.000466141521599219,IntegratedGradients
Erlotinib,0,,rna,RHOC,0.0006765973501583237,IntegratedGradients
Erlotinib,0,,rna,F3,0.0005360479429412256,IntegratedGradients
Erlotinib,0,,rna,CCDC198,0.0003816514134690372,IntegratedGradients
Erlotinib,0,,rna,P3H1,0.0007290986043032066,IntegratedGradients
Erlotinib,0,,rna,IGFBP6,0.001137636478342046,IntegratedGradients
Erlotinib,0,,rna,CNN3,0.0005091898262232395,IntegratedGradients
Erlotinib,0,,rna,CCDC88C,0.0006208821445600673,IntegratedGradients
Erlotinib,0,,rna,PROX1,0.0009473519632394652,IntegratedGradients
Erlotinib,0,,rna,SYK,0.0005079692993586487,IntegratedGradients
Erlotinib,0,,rna,BCAR3,0.0011987301973281983,IntegratedGradients
Erlotinib,0,,rna,PON2,0.0004022471133273301,IntegratedGradients
Erlotinib,0,,rna,SLPI,0.0005075151353505276,IntegratedGradients
Erlotinib,0,,rna,ZNF165,0.0005119155218522049,IntegratedGradients
Erlotinib,0,,rna,LGALS3,0.00039676598121192924,IntegratedGradients
Erlotinib,0,,rna,TFF1,0.0004531334303571499,IntegratedGradients
Erlotinib,0,,rna,GFRA2,0.0002493571657077755,IntegratedGradients
Erlotinib,0,,rna,PXDC1,0.0012058530555918974,IntegratedGradients
Erlotinib,0,,rna,CD63,0.000547054936695567,IntegratedGradients
Erlotinib,0,,rna,DAG1,0.0005020411255001853,IntegratedGradients
Erlotinib,0,,rna,TUFT1,0.0004065852036039434,IntegratedGradients
Erlotinib,0,,rna,CTTN,0.000604513918634369,IntegratedGradients
Erlotinib,0,,rna,TRIM29,0.0003175046016013863,IntegratedGradients
Erlotinib,0,,rna,IL21R,0.00019729657396957463,IntegratedGradients
Erlotinib,0,,rna,PDGFC,0.0008294820056784618,IntegratedGradients
Erlotinib,0,,rna,MYL4,0.00037258544186410296,IntegratedGradients
Erlotinib,0,,rna,CCND1,0.0007077888223570388,IntegratedGradients
Erlotinib,0,,rna,GNA15,0.0005044348213404469,IntegratedGradients
Erlotinib,0,,rna,E2F2,0.00046655563959543256,IntegratedGradients
Erlotinib,0,,rna,NKG7,0.0003157654545367871,IntegratedGradients
Erlotinib,0,,rna,SDC1,0.0011056874416448175,IntegratedGradients
Erlotinib,0,,rna,BICC1,0.0021215864133100385,IntegratedGradients
Erlotinib,0,,rna,MAPK13,0.0008500375469461307,IntegratedGradients
Erlotinib,0,,rna,CLDN4,0.0008640909432703597,IntegratedGradients
Erlotinib,0,,rna,FSTL1,0.0006268083619582873,IntegratedGradients
Erlotinib,0,,rna,MIR22HG,0.0014112359363116279,IntegratedGradients
Erlotinib,0,,rna,SEPTIN6,0.0004419162763844691,IntegratedGradients
Erlotinib,0,,rna,A1CF,0.00039229994337697504,IntegratedGradients
Erlotinib,0,,rna,FNDC3B,0.0007454753484501031,IntegratedGradients
Erlotinib,0,,rna,MMP2,0.0011203777203617265,IntegratedGradients
Erlotinib,0,,rna,S100A10,0.0005276921036637872,IntegratedGradients
Erlotinib,0,,rna,PLK2,0.0010976016437365952,IntegratedGradients
Erlotinib,0,,rna,CBFA2T3,0.0006731969108392116,IntegratedGradients
Erlotinib,0,,rna,KDELR3,0.0005385753134293196,IntegratedGradients
Erlotinib,0,,rna,CBLC,0.0005619736977442346,IntegratedGradients
Erlotinib,0,,rna,ITGA4,0.0004227104241236999,IntegratedGradients
Erlotinib,0,,rna,RBFOX2,0.0005921916881846165,IntegratedGradients
Erlotinib,0,,rna,SLA,0.00042605675340688187,IntegratedGradients
Erlotinib,0,,rna,AREG,0.0004922740664692046,IntegratedGradients
Erlotinib,0,,rna,EVI2B,0.0005376354244554745,IntegratedGradients
Erlotinib,0,,rna,CLDN1,0.00037040784138335324,IntegratedGradients
Erlotinib,0,,rna,HEPH,0.0003483887946582403,IntegratedGradients
Erlotinib,0,,rna,MYO1C,0.0009873974337899982,IntegratedGradients
Erlotinib,0,,rna,CRY1,0.00025085859304078934,IntegratedGradients
Erlotinib,0,,rna,GPSM3,0.0005820103648444252,IntegratedGradients
Erlotinib,0,,rna,PTK2,0.0005964794764958848,IntegratedGradients
Erlotinib,0,,rna,PHLDA1,0.0004437457584721321,IntegratedGradients
Erlotinib,0,,rna,TGFB1I1,0.0005543421302413359,IntegratedGradients
Erlotinib,0,,rna,LAMC2,0.0011432017498113508,IntegratedGradients
Erlotinib,0,,rna,CSF2RB,0.0003433332008458827,IntegratedGradients
Erlotinib,0,,rna,ITGAV,0.000602445100810935,IntegratedGradients
Erlotinib,0,,rna,SYT11,0.0005916243180562998,IntegratedGradients
Erlotinib,0,,rna,BIN2,0.00033902362038786503,IntegratedGradients
Erlotinib,0,,rna,PHACTR1,0.0006726128469145556,IntegratedGradients
