,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36
HuH-6 Clone 5,-14.510634,142.33214,29.724432,-50.44747,97.95318,-10.618189,-109.63451,-99.50725,108.06187,-148.13779,-138.89703,-85.98696,91.42865,76.07288,113.05934,-109.7881,-29.025549,123.36747,16.089733,-142.36934,49.083744,125.33913,-63.254963,-91.831795,-68.957794,-96.18713,-115.48329,170.71529,103.78119,46.74622,18.388226,66.41505,72.87776,-94.33856,-98.6423,-62.848656,-38.163513
HCC1897,-11.913367,77.59411,62.3754,-16.544481,32.18486,25.986713,-73.095795,-80.72442,60.709774,-74.54112,-121.6919,-26.57496,19.467411,74.62161,70.55284,-58.7929,13.949408,37.760254,41.991486,-110.73105,7.781679,82.94883,-45.39231,-45.271206,-72.26723,-57.334194,-79.147194,102.317635,51.149567,46.408722,-2.52018,-17.897816,8.273543,-52.59647,-54.971027,-34.54199,-9.011638
UM-UC-1,0.25910679,119.50667,149.61586,-40.4268,48.190723,30.143522,-129.33235,-171.08537,142.56778,-94.80465,-244.10536,-42.45798,2.03016,140.0296,137.27377,-117.621056,55.625122,61.391262,95.27043,-203.47272,12.301279,157.82343,-56.735466,-68.30012,-164.34952,-93.09668,-117.87373,182.67847,137.68106,107.60675,-30.273285,-74.3341,-1.0187867,-105.62305,-90.770424,-15.016138,25.777964
Hs 698.T,161.66158,260.44507,241.59116,-37.250595,242.99663,232.34929,-284.6176,-14.264972,10.1049595,-228.59985,74.5713,-80.4798,120.07497,164.50441,257.14957,-231.84576,135.72244,53.399193,-74.653145,-308.4714,203.52046,20.798643,-99.19483,-63.88186,-198.54439,-256.78903,-246.00288,116.935974,53.396763,-16.19213,67.9887,-92.447334,2.0191622,-290.69827,-339.17023,-293.11365,-163.69998
SNU-407,-16.900927,95.952675,49.32872,-88.06137,71.31641,-24.709234,-114.52006,-151.69873,104.391945,-121.50515,-179.66345,-89.84977,50.736145,106.30293,85.678406,-102.58274,-67.46933,73.63484,41.39951,-123.71427,61.391235,170.31502,-90.60516,-112.43766,-117.59551,-79.76211,-104.917244,155.0341,142.59984,110.33416,10.21545,39.64098,69.48659,-79.26711,-49.9969,-46.53128,-41.004684
NCI-H2081,16.017038,59.38105,-7.978091,-136.30612,44.26285,-103.31955,-24.801807,-27.016766,-1.8074524,-90.97162,-106.11158,-45.89505,74.66618,-9.184836,-12.501337,16.050508,-178.20584,24.146383,-24.607744,15.189911,58.10902,38.9361,-91.34444,-109.39243,-0.3400231,-68.737236,-100.1257,62.055965,66.2507,85.23318,102.45826,108.57453,79.99105,-22.199667,-49.720917,-112.50109,-62.037594
FTC-133,31.12653,130.22533,99.15224,-23.501947,99.33934,79.577354,-122.30006,-23.20842,7.7174354,-94.29168,-18.350723,-33.532635,67.71574,77.53239,109.30519,-103.01777,63.057056,57.771713,-40.60757,-152.84262,76.90906,3.5521317,-31.766968,-23.598915,-82.23977,-102.17646,-126.61667,75.766335,0.10476624,1.7944175,59.4604,-35.465633,-13.516271,-118.474976,-160.97594,-133.22427,-61.329178
MOLT-16,15.54086,215.47974,-259.69418,-11.118602,318.37045,95.93014,-236.85458,25.255375,-119.198814,-308.35138,212.42249,-165.70741,279.4438,323.00076,-48.075203,-258.72845,-458.26318,135.42241,-277.52295,30.234983,317.8412,311.52698,-108.00728,-192.53163,-39.43866,-188.06696,-196.45332,162.06705,237.29326,-13.805435,-36.500977,303.64597,267.00958,-202.3275,-46.471687,-302.2548,-348.2805
BEN,-0.10939468,92.15971,43.629265,-109.47882,73.48293,-41.171562,-84.82774,-88.39601,62.37529,-118.75653,-150.3352,-68.63251,69.3837,51.425858,45.223392,-54.927452,-114.954,41.779984,3.3452382,-64.05804,62.356926,101.06534,-86.005806,-120.57972,-55.563904,-80.47914,-118.534615,113.03863,104.11352,101.8948,53.11129,80.31571,71.1906,-63.637516,-61.97627,-99.83321,-47.233376
PK-1,-13.461153,91.29599,125.76239,-39.928802,29.525524,3.092676,-99.26409,-148.56578,141.29906,-71.92715,-227.34038,-26.689013,-5.6343913,110.25772,113.17988,-94.53146,42.284725,58.36186,91.253204,-167.09937,1.8425226,134.26173,-49.31298,-50.743546,-142.2217,-70.73337,-86.907715,157.44365,126.86317,100.83096,-28.9979,-65.43451,-5.654348,-81.75906,-66.99682,5.260174,35.360874
Hs 611.T,48.566853,223.17897,-177.41783,-89.13076,367.08505,124.16526,-248.41516,19.315104,-67.27933,-412.50537,162.32251,-186.85182,339.85214,349.39963,-41.352455,-358.585,-499.842,114.58397,-247.52899,-48.057755,423.9465,398.5918,-152.17316,-278.11792,-103.436646,-249.40242,-243.92717,260.45294,351.60645,40.627235,6.3554473,311.14804,331.28174,-198.71533,-97.05529,-299.8825,-365.3406
HT-144,34.429344,156.53111,114.51084,-40.570114,92.71261,55.36306,-112.140076,-7.7936263,-3.3044667,-89.59236,-19.924345,-47.160786,75.4465,58.55966,99.242256,-117.321495,-7.0405426,79.037704,-66.27649,-156.6704,77.40297,-20.30501,-20.838718,-18.164661,-79.90104,-88.12481,-124.235634,52.592243,7.7141814,-32.568714,79.79024,-10.330175,-15.4559965,-107.81732,-149.88985,-124.03836,-87.76353
ZR-75-1,2.6912882,60.46072,57.117973,-72.58285,16.86498,-15.817171,-47.02215,-96.1239,54.227203,-97.63598,-114.676125,-47.99499,16.515211,58.2011,52.663578,-37.131664,-72.19155,12.299242,52.38439,-73.99479,8.865776,119.15988,-80.340034,-74.59799,-50.912304,-56.64128,-58.32617,83.169525,71.8121,46.201683,-5.593394,29.8682,35.16646,-30.69456,-16.095009,-8.176686,-36.883804
LNCaP clone FGC,-0.95454675,65.403786,12.55794,-83.61872,45.171963,-27.035395,-45.391975,-65.485886,28.863981,-108.10101,-83.40783,-59.224567,65.15087,58.928257,30.459623,-46.226505,-92.774216,44.295906,3.4388669,-54.52722,47.695164,104.16499,-77.72394,-88.40727,-40.6442,-66.72382,-84.97757,102.57871,69.085655,55.15499,41.948498,58.331753,58.966232,-31.269096,-38.405506,-57.11426,-55.583363
HEC-151,-5.0393286,92.88369,23.798859,-55.29157,57.961777,5.2068534,-82.26294,-105.01951,74.65184,-88.877754,-132.71828,-60.58194,67.52474,80.26049,61.25217,-80.171974,-19.175772,79.94221,37.1015,-100.98424,45.88183,94.93909,-54.64913,-62.16142,-84.97366,-57.76406,-92.38864,130.43474,73.343636,75.3724,20.592838,20.265596,41.467842,-52.110275,-64.4045,-51.454876,-14.771059
G-361,2.3966932,115.25683,42.207222,-48.901398,39.558235,2.4041142,-43.884277,-1.8242172,-15.88792,-60.581287,-47.407578,-46.70344,75.48721,18.628765,30.857592,-70.53549,-66.93262,96.18762,-66.65546,-92.7425,33.936993,-24.588314,-11.108519,-22.157837,-29.192062,-35.96995,-86.112206,44.117504,-11.523175,-41.60918,90.3571,24.114794,-8.287243,-30.168924,-82.28374,-84.79047,-67.28143
